engaged,la,ra,lh,rh,head,body,speech
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
disengaged,la blind,ra blind,lh blind,rh blind,head blind,body still,
