engaged,la,ra,lh,rh,head,body,speech
engaged,la still,ra blind,lh other,rh other,head other,body still,
engaged,la still,ra blind,lh other,rh other,head nod,body still,
engaged,la still,ra blind,lh other,rh other,head nod,body still,
engaged,la still,ra blind,lh other,rh closed back,head nod,body still,
engaged,la still,ra blind,lh other,rh closed back,head nod,body still,
engaged,la move down,ra blind,lh other,rh closed back,head nod,body still,
engaged,la move back,ra blind,lh other,rh closed back,head nod,body still,
engaged,la move back,ra blind,lh other,rh closed back,head other,body still,
engaged,la move down,ra blind,lh other,rh closed back,head other,body still,
engaged,la move back,ra blind,lh other,rh fist,head other,body still,
engaged,la move back,ra blind,lh other,rh fist,head other,body still,
engaged,la move back,ra blind,lh other,rh fist,head other,body still,
engaged,la move back,ra blind,lh other,rh fist,head other,body still,
engaged,la move back,ra blind,lh other,rh fist,head other,body still,
engaged,la move back,ra blind,lh other,rh fist,head other,body still,
engaged,la move back,ra move up front,lh other,rh point front,head other,body still,
engaged,la move back,ra move up front,lh other,rh point front,head other,body still,
engaged,la move back,ra move up front,lh other,rh point front,head other,body still,
engaged,la move back,ra move up front,lh other,rh l,head other,body still,
engaged,la move up back,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh l,head other,body still,
engaged,la blind,ra move up front,lh other,rh l,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh l,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move left up,lh other,rh point front,head other,body still,
engaged,la blind,ra move left up,lh other,rh point front,head other,body still,
engaged,la blind,ra move left front,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left back,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
