engaged,la,ra,lh,rh,head,body,speech
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left,lh other,rh point front,head other,body still,
engaged,la blind,ra move left front,lh other,rh point front,head other,body still,
engaged,la blind,ra move left front,lh other,rh point front,head other,body still,
engaged,la blind,ra move left front,lh other,rh point front,head other,body still,
engaged,la blind,ra move left front,lh other,rh point front,head other,body still,
engaged,la blind,ra move left front,lh other,rh point front,head other,body still,
engaged,la blind,ra move left front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,speak this
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move right back,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move right down,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move right back,lh other,rh point front,head other,body still,
engaged,la blind,ra move right down,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point down,head other,body still,
engaged,la blind,ra move right down,lh other,rh point down,head other,body still,
engaged,la blind,ra move down,lh other,rh point down,head other,body still,
engaged,la blind,ra move right down,lh other,rh point down,head other,body still,
engaged,la blind,ra move down,lh other,rh point down,head other,body still,
engaged,la blind,ra move right back,lh other,rh point down,head other,body still,
engaged,la blind,ra move down,lh other,rh point front,head other,body still,
engaged,la blind,ra move down,lh other,rh point down,head other,body still,
engaged,la blind,ra move down,lh other,rh point down,head other,body still,
engaged,la blind,ra move down,lh other,rh point down,head other,body still,
engaged,la blind,ra move down,lh other,rh point down,head other,body still,
engaged,la blind,ra move back,lh other,rh point down,head other,body still,
engaged,la blind,ra move down,lh other,rh point down,head other,body still,
engaged,la blind,ra still,lh other,rh point down,head other,body still,
engaged,la blind,ra still,lh other,rh point down,head other,body still,
engaged,la blind,ra still,lh other,rh point down,head other,body still,
engaged,la blind,ra still,lh other,rh point down,head other,body still,
engaged,la blind,ra still,lh other,rh point down,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point down,head other,body still,
engaged,la blind,ra still,lh other,rh point down,head other,body still,
engaged,la blind,ra still,lh other,rh point down,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up front,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up back,lh other,rh point front,head other,body still,
engaged,la blind,ra move up back,lh other,rh point front,head other,body still,
engaged,la blind,ra move up back,lh other,rh point front,head other,body still,
engaged,la blind,ra move up,lh other,rh point front,head other,body still,
engaged,la blind,ra move up back,lh other,rh point front,head other,body still,
engaged,la blind,ra move back,lh other,rh point front,head other,body still,
engaged,la blind,ra move right back,lh other,rh point front,head other,body still,
engaged,la blind,ra move back,lh other,rh point front,head other,body still,
engaged,la blind,ra move right back,lh other,rh point front,head other,body still,
engaged,la blind,ra move right back,lh other,rh point front,head other,body still,
engaged,la blind,ra move back,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra move front,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra still,lh other,rh point front,head other,body still,
engaged,la blind,ra move right down,lh other,rh point front,head other,body still,
engaged,la blind,ra move right,lh other,rh point front,head other,body still,
engaged,la blind,ra move right,lh other,rh point front,head other,body still,
engaged,la blind,ra move right,lh other,rh point front,head other,body still,
engaged,la blind,ra move right,lh other,rh point front,head other,body still,
engaged,la blind,ra move right down,lh other,rh point front,head other,body still,
engaged,la blind,ra move right,lh other,rh point front,head other,body still,
engaged,la blind,ra move right down,lh other,rh point front,head other,body still,
